SampleID	PrimerPairID	BarcodeID	ProjectID
Castilleja_affinis_var_inflata_CAPRC_9	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima529	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_latifolia_CLaPL_1	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima530	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_affinis_var_litoralis_CLiPP_21	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima531	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_affinis_var_litoralis_CLiSW_16	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima532	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_wightii_CLiWA_30	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima533	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_affinis_var_neglecta_CNAC_22	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima534	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_affinis_var_neglecta_CNMR_8	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima535	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_affinis_var_neglecta_CNNR_28	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima536	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_affinis_var_neglecta_CNRM_1	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima537	Tank_D/Castilleja_48_single_plex_Jun18
Castilleja_wightii_CWBH_1	AT1G04200,AT1G13040,AT1G17760,AT1G26640,AT1G43860,AT1G80150_A,AT2G17670,AT2G28190_A,AT2G29210_A,AT2G29210_B_1,AT2G29210_B_2,AT2G38020_a_A,AT2G38020_a_C,AT2G38020_b,AT3G14730,AT3G16890,AT4G30825,AT5G18475,ETSB_18S_IGS,Tha_ITS1F_ITS2R,W11F_W12R,W12F_W13R,AT1_320F_C1261R,AT5_C875F_1890R	Lima538	Tank_D/Castilleja_48_single_plex_Jun18
